                                                    Concept  PeriodEnd                                                                                                                                                                                                                                             Dims         Value
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                                                                                                                                                   8.882100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                                                                                                                                   8.515900e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-01-01                                                                                                                                                                                                                                                   7.999000e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                     srt:ProductOrServiceAxis:jnj:ZYTIGAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.700000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                        srt:ProductOrServiceAxis:jnj:ZYTIGAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.130000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                        srt:ProductOrServiceAxis:jnj:ZYTIGAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.500000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                        srt:ProductOrServiceAxis:jnj:ZYTIGAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.830000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                        srt:ProductOrServiceAxis:jnj:ZYTIGAMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.960000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                       srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.600000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                       srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.600000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                       srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.530000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                       srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.060000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                              srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.900000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                              srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.000000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                              srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.230000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                              srt:ProductOrServiceAxis:jnj:OtherOncologyMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.360000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                 srt:ProductOrServiceAxis:jnj:OtherOncologyMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.400000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                 srt:ProductOrServiceAxis:jnj:OtherOncologyMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.600000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                 srt:ProductOrServiceAxis:jnj:OtherOncologyMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.760000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                 srt:ProductOrServiceAxis:jnj:OtherOncologyMember; us-gaap:SubsegmentsAxis:jnj:OncologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.420000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                       srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.676000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                       srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.068000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                       srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.377000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                       srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.499000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                              srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.493000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                              srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.552000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                              srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.492000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                              srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.090000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                                                                 us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember  4.168000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                                                                 us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember  4.621000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                                                                 us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember  1.186800e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                                                                 us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember  1.359000e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                          srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.260000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                          srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.810000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                          srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.230000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                          srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.780000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                       srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:jnj:UNITEDSTATESExportsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.900000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                       srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:jnj:UNITEDSTATESExportsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.700000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                       srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:jnj:UNITEDSTATESExportsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.300000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                       srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:jnj:UNITEDSTATESExportsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.900000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                 srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.320000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                 srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.120000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                 srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.130000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                 srt:ProductOrServiceAxis:jnj:RemicadeMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.800000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                    srt:ProductOrServiceAxis:jnj:RemicadeMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.760000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                    srt:ProductOrServiceAxis:jnj:RemicadeMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.190000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                                    srt:ProductOrServiceAxis:jnj:RemicadeMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.398000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                                                                    srt:ProductOrServiceAxis:jnj:RemicadeMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.246000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.090000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.990000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  9.060000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                                srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  8.200000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                       srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.770000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                       srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.180000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                       srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.130000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-09-29                       srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.870000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-09-28                                                                          srt:ProductOrServiceAxis:jnj:SimponiSimponiAriaMember; us-gaap:SubsegmentsAxis:jnj:ImmunologyMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.870000e+08
